Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,8,2,15,1,1,1,1,6,6,1,0,0,1,0,1,22,6,11,5,11.0,7.6,2.6,0.32,True
1,8,5,15,1,1,13,10,8,4,1,0,0,1,0,0,22,6,7,6,15.285714285714286,13.9,-0.3,0.79,False
1,1,1,12,1,1,1,1,5,4,0,0,0,1,1,0,18,8,9,8,14.38888888888889,16.2,0.3,-0.92,False
1,1,5,9,1,1,24,29,4,4,1,0,0,0,1,0,18,5,0,0,0.0,11.1,0.6,2.02,True
1,8,6,10,1,1,1,28,5,8,0,0,0,1,0,1,18,6,6,6,13.333333333333334,13.9,-0.3,0.79,False
1,15,1,5,1,14,22,1,10,8,0,0,0,1,1,0,20,9,10,8,12.75,16.2,0.3,-0.92,True
1,8,1,15,1,1,1,23,4,4,0,0,0,0,1,0,20,5,10,0,0.0,10.8,1.4,1.74,True
1,1,1,2,1,1,13,14,4,11,1,0,0,1,0,0,21,17,18,17,12.666666666666666,11.1,0.6,2.02,False
1,16,1,5,1,1,13,14,6,8,0,0,0,1,0,1,20,11,11,11,13.454545454545457,11.1,0.6,2.02,False
1,15,1,2,1,14,13,1,10,10,1,0,0,1,1,0,21,0,0,0,0.0,12.4,0.5,1.79,False
1,1,1,3,0,1,22,27,10,8,0,0,0,1,0,0,29,7,7,7,13.428571428571429,9.4,-0.8,-3.12,False
1,8,2,12,1,1,22,1,10,5,1,0,0,1,0,1,19,7,7,6,13.8,7.6,2.6,0.32,False
1,1,1,9,1,1,13,14,10,10,1,0,0,1,0,1,18,5,8,4,11.6,13.9,-0.3,0.79,False
1,1,1,14,1,1,1,14,5,5,0,0,0,1,0,1,18,6,7,6,13.142857142857142,11.1,0.6,2.02,False
1,8,1,11,1,1,19,28,1,8,1,0,1,0,0,0,19,6,13,0,0.0,7.6,2.6,0.32,True
1,8,4,12,1,1,1,14,5,4,1,0,0,1,1,1,18,8,8,7,15.07,10.8,1.4,1.74,False
2,12,1,4,1,1,13,14,5,5,0,0,0,0,0,0,35,6,0,0,0.0,15.5,2.8,-4.06,True
1,1,1,10,1,1,13,28,8,8,0,0,0,1,0,1,19,6,8,6,10.714285714285714,15.5,2.8,-4.06,False
1,4,1,2,1,3,1,2,10,3,0,0,0,0,1,0,18,0,0,0,0.0,9.4,-0.8,-3.12,True
1,12,1,3,0,1,23,27,10,8,0,0,0,1,1,1,37,6,7,5,12.0,13.9,-0.3,0.79,False
1,8,1,10,1,1,1,34,5,3,1,0,1,0,1,0,20,6,6,2,12.5,8.9,1.4,3.51,True
4,14,4,17,0,9,22,27,10,10,0,0,0,0,0,0,40,5,5,0,0.0,7.6,2.6,0.32,True
2,12,1,3,0,1,22,27,10,10,0,0,0,1,0,1,43,6,8,6,11.5,8.9,1.4,3.51,False
1,4,1,3,0,17,13,14,10,5,0,0,0,1,0,0,37,11,11,11,16.90909090909091,8.9,1.4,3.51,False
2,12,1,3,0,12,1,14,2,6,0,0,1,1,0,1,33,6,7,6,12.5,9.4,-0.8,-3.12,False
1,1,5,11,1,1,13,27,10,10,0,0,0,1,0,1,19,6,7,5,12.2,8.9,1.4,3.51,False
1,4,3,8,1,3,22,18,12,11,0,0,0,0,1,0,41,5,9,0,0.0,10.8,1.4,1.74,True
1,16,1,9,1,1,13,14,10,8,0,0,1,0,0,0,32,13,13,13,11.384615384615383,16.2,0.3,-0.92,False
1,8,1,13,1,1,23,27,10,10,1,0,0,1,0,1,18,8,8,8,15.125,15.5,2.8,-4.06,False
1,8,1,14,1,1,23,28,6,8,1,0,0,1,0,0,19,6,7,6,12.333333333333334,12.4,0.5,1.79,False
1,8,1,11,1,1,1,14,4,4,1,0,0,1,0,0,19,6,8,5,13.4,11.1,0.6,2.02,False
2,14,1,16,1,1,22,27,8,8,0,0,0,1,1,0,40,4,5,4,15.5,13.9,-0.3,0.79,False
1,1,2,14,1,1,1,14,5,8,1,0,0,1,0,1,19,6,10,5,13.4,8.9,1.4,3.51,False
1,1,1,5,1,1,13,27,10,10,1,0,0,1,0,1,19,6,8,6,13.125,10.8,1.4,1.74,False
1,14,1,8,1,1,24,3,4,3,1,0,0,1,0,0,21,5,6,4,13.75,10.8,1.4,1.74,False
1,8,1,5,1,1,1,1,2,6,0,0,0,1,0,1,22,6,9,4,12.0,9.4,-0.8,-3.12,False
1,1,1,12,1,1,23,27,10,10,0,0,0,1,1,1,18,8,8,8,15.63375,9.4,-0.8,-3.12,False
1,1,1,2,1,1,3,20,4,6,0,0,0,0,1,0,18,0,0,0,0.0,9.4,-0.8,-3.12,True
1,8,1,12,1,1,22,27,10,9,1,0,0,1,0,1,19,8,8,8,13.31375,15.5,2.8,-4.06,False
1,1,1,14,1,1,1,1,10,9,1,0,0,1,1,1,17,6,8,6,13.428571428571429,11.1,0.6,2.02,False
1,15,1,6,1,14,23,27,5,7,1,0,0,1,0,1,22,6,10,3,12.0,13.9,-0.3,0.79,False
1,12,1,3,0,1,22,27,10,10,0,0,0,1,0,1,35,6,7,6,11.5,10.8,1.4,1.74,False
2,14,1,17,0,1,22,27,5,2,0,0,0,1,1,0,38,5,6,5,14.333333333333334,13.9,-0.3,0.79,False
1,8,4,9,1,1,23,14,10,10,1,0,0,1,0,0,21,5,5,5,13.2,8.9,1.4,3.51,False
1,8,2,11,1,1,22,27,10,8,1,0,0,1,0,1,20,6,10,4,11.75,12.7,3.7,-1.7,False
1,1,2,10,1,1,1,14,5,6,0,0,0,1,0,0,18,6,8,5,11.2,10.8,1.4,1.74,False
1,1,1,15,1,1,13,27,10,10,0,0,0,1,0,1,19,6,6,6,13.166666666666666,11.1,0.6,2.02,False
1,1,6,9,1,1,23,28,10,10,1,0,0,1,0,0,20,5,8,5,11.2,11.1,0.6,2.02,False
1,8,4,14,1,1,1,27,8,8,1,0,0,0,0,0,18,6,8,5,13.6,8.9,1.4,3.51,False
1,7,4,11,1,1,23,27,10,8,1,0,0,1,0,1,21,6,6,6,12.5,8.9,1.4,3.51,False
1,14,1,10,1,1,23,14,10,5,0,0,1,1,0,0,28,13,13,11,12.090909090909092,16.2,0.3,-0.92,False
1,8,1,2,1,1,22,27,10,2,1,0,0,1,0,0,19,0,0,0,0.0,15.5,2.8,-4.06,True
2,12,1,11,1,1,22,27,5,8,1,0,0,1,0,0,34,6,8,5,12.8,9.4,-0.8,-3.12,False
1,1,1,12,1,1,1,28,2,8,0,0,0,1,0,0,19,7,7,6,14.566666666666668,7.6,2.6,0.32,False
1,1,3,15,1,1,13,14,6,6,1,0,0,1,0,0,19,6,8,5,12.4,12.4,0.5,1.79,False
1,1,1,2,1,1,13,27,8,8,1,0,0,0,0,0,19,0,0,0,0.0,10.8,1.4,1.74,True
1,1,1,2,1,1,13,1,10,8,0,0,0,1,1,0,18,0,0,0,0.0,9.4,-0.8,-3.12,False
1,1,1,8,1,1,13,1,10,10,1,0,0,0,0,0,25,5,10,4,14.25,9.4,-0.8,-3.12,True
1,12,1,17,0,1,22,27,10,10,0,0,0,1,1,0,35,5,5,0,0.0,11.1,0.6,2.02,True
1,1,1,12,1,1,1,14,5,8,1,0,0,1,1,0,18,8,11,7,11.347142857142858,12.4,0.5,1.79,False
1,16,1,3,0,16,13,27,19,44,1,0,1,1,0,1,21,11,11,10,12.6,8.9,1.4,3.51,False
1,8,1,10,1,1,13,27,10,10,1,0,0,1,0,1,20,6,8,6,12.625,13.9,-0.3,0.79,False
1,1,2,14,1,1,1,28,8,8,1,0,0,1,1,0,19,6,8,5,14.0,8.9,1.4,3.51,False
1,1,3,12,1,1,1,1,10,10,1,0,0,1,0,0,18,8,8,7,13.328571428571427,12.7,3.7,-1.7,False
1,14,2,10,1,1,23,28,6,6,0,0,0,1,0,1,19,6,11,5,11.2,10.8,1.4,1.74,False
1,16,1,14,1,12,2,1,4,11,0,0,1,1,1,0,32,6,7,0,0.0,11.1,0.6,2.02,True
1,8,5,12,1,1,10,1,6,6,1,0,0,1,0,0,18,8,9,7,12.614285714285714,13.9,-0.3,0.79,False
2,12,1,4,1,1,2,2,2,5,0,0,0,1,1,0,30,12,16,5,11.8,15.5,2.8,-4.06,True
1,9,1,15,1,1,23,28,7,8,1,0,0,1,1,1,18,6,0,0,0.0,8.9,1.4,3.51,True
1,1,2,12,1,1,13,28,10,10,1,0,0,1,0,0,18,8,8,7,12.914285714285713,12.7,3.7,-1.7,False
1,12,1,3,0,12,13,14,22,27,0,0,1,1,0,1,39,6,9,4,13.75,11.1,0.6,2.02,False
1,1,1,6,1,6,13,14,10,10,1,0,0,1,0,0,22,5,9,5,13.2,9.4,-0.8,-3.12,True
1,1,1,11,1,1,1,1,6,6,1,0,0,1,1,1,21,6,7,5,12.2,10.8,1.4,1.74,False
1,1,2,15,1,1,1,2,10,4,1,0,0,1,0,1,19,6,6,6,13.5,9.4,-0.8,-3.12,False
1,15,1,6,1,1,4,4,3,7,0,0,0,1,0,0,22,6,9,4,11.5,13.9,-0.3,0.79,False
1,1,6,12,1,1,13,14,10,10,0,0,0,1,0,0,18,8,9,8,13.2,12.4,0.5,1.79,False
2,12,1,8,1,12,2,1,3,10,1,0,0,1,1,0,44,5,9,4,15.5,10.8,1.4,1.74,False
1,16,1,5,1,1,3,1,4,6,0,0,0,1,0,1,19,11,11,11,12.909090909090908,11.1,0.6,2.02,False
1,4,1,7,1,1,19,24,1,1,0,0,0,1,1,0,24,5,0,0,0.0,7.6,2.6,0.32,True
1,8,1,15,1,1,1,14,10,10,0,0,0,1,0,1,19,6,6,6,13.833333333333334,11.1,0.6,2.02,False
2,12,1,3,0,1,19,24,1,1,0,0,0,1,0,0,33,6,7,6,11.166666666666666,7.6,2.6,0.32,False
1,1,1,5,1,1,3,28,2,10,1,0,0,0,0,0,19,6,0,0,0.0,10.8,1.4,1.74,True
1,1,1,9,1,1,23,28,3,10,0,0,0,1,0,0,19,5,6,0,0.0,13.9,-0.3,0.79,True
1,1,2,12,1,1,13,1,6,6,1,0,0,1,0,0,19,8,9,8,15.127777777777778,11.1,0.6,2.02,False
1,1,2,15,1,1,23,28,10,10,1,0,0,1,0,1,19,6,8,5,12.8,12.7,3.7,-1.7,False
1,1,2,13,1,1,23,1,10,4,1,0,0,1,0,0,18,8,8,8,15.3125,16.2,0.3,-0.92,False
1,1,3,5,1,1,5,3,6,8,1,0,0,1,0,0,21,6,7,5,12.0,12.4,0.5,1.79,False
1,1,1,10,1,1,1,1,5,5,0,0,0,1,1,0,19,6,9,6,11.0,9.4,-0.8,-3.12,False
1,1,2,9,1,1,1,1,10,10,0,0,0,1,1,1,18,5,5,5,12.8,12.4,0.5,1.79,False
1,1,1,5,1,1,10,14,5,6,0,1,0,1,0,1,18,6,8,6,11.285714285714286,8.9,1.4,3.51,False
1,1,1,8,1,1,25,14,3,10,1,0,0,1,0,0,18,6,11,4,14.6,8.9,1.4,3.51,True
2,4,1,3,0,3,13,14,5,5,0,0,0,1,0,0,27,6,0,0,0.0,9.4,-0.8,-3.12,True
1,8,1,15,1,1,13,28,6,8,1,0,0,1,1,0,19,6,0,0,0.0,8.9,1.4,3.51,True
1,8,1,12,1,1,1,1,6,6,0,1,0,1,0,0,18,8,11,8,14.772727272727272,16.2,0.3,-0.92,False
1,1,1,15,1,1,1,14,5,5,0,0,0,1,1,1,19,6,9,6,12.333333333333334,9.4,-0.8,-3.12,False
1,8,1,10,1,1,23,28,29,44,0,0,1,1,0,1,19,6,7,6,13.0,8.9,1.4,3.51,False
1,9,1,3,0,1,13,1,10,6,1,0,0,1,0,0,19,6,8,6,14.375,12.4,0.5,1.79,False
1,17,1,10,1,16,1,14,6,6,0,0,1,0,0,0,23,9,14,4,13.25,8.9,1.4,3.51,True
1,1,1,4,1,1,23,28,5,9,0,0,1,1,1,0,21,12,14,12,14.461538461538462,15.5,2.8,-4.06,False
1,12,1,14,1,6,1,1,12,4,1,0,0,1,1,0,30,5,5,0,0.0,7.6,2.6,0.32,True
1,1,6,12,1,1,1,14,10,5,1,0,0,1,0,1,19,8,8,7,14.214285714285714,12.7,3.7,-1.7,False
1,8,4,12,1,1,3,14,5,8,1,0,0,1,0,1,18,8,8,8,14.51125,15.5,2.8,-4.06,False
1,1,1,2,1,1,1,14,6,9,1,0,0,1,0,1,18,0,0,0,0.0,13.9,-0.3,0.79,False
1,1,1,5,1,1,22,1,10,9,1,0,0,1,1,0,22,6,12,6,14.666666666666666,12.7,3.7,-1.7,False
1,1,2,14,1,1,2,1,5,5,1,0,0,1,0,0,19,6,6,5,12.8,12.7,3.7,-1.7,False
1,1,1,8,1,1,13,27,2,10,1,0,0,1,1,0,22,5,5,0,0.0,12.7,3.7,-1.7,True
4,12,1,3,0,12,22,27,10,8,0,0,0,1,0,1,47,6,10,4,11.25,12.4,0.5,1.79,False
1,12,1,3,0,15,13,27,6,10,0,0,0,1,0,0,37,8,8,8,14.75,12.4,0.5,1.79,False
1,15,1,4,1,14,22,28,10,10,0,0,1,1,0,1,19,6,11,5,13.0,15.5,2.8,-4.06,False
1,7,4,15,1,1,22,27,10,4,1,0,0,1,0,1,18,6,8,5,12.8,10.8,1.4,1.74,False
2,12,1,3,0,12,13,27,10,10,0,0,1,0,1,0,45,5,5,0,0.0,16.2,0.3,-0.92,True
1,12,1,3,0,1,22,28,5,8,1,0,0,1,0,0,24,6,12,0,0.0,9.4,-0.8,-3.12,True
1,12,1,17,0,3,22,27,10,10,0,0,0,1,0,0,28,11,16,10,12.0,10.8,1.4,1.74,False
1,8,4,12,1,1,13,14,4,11,1,0,0,1,0,0,18,8,8,8,15.75,13.9,-0.3,0.79,False
1,14,1,10,1,14,2,1,2,3,0,0,0,1,1,0,21,10,13,10,11.8,13.9,-0.3,0.79,False
1,9,1,7,1,1,1,1,5,4,1,0,0,1,1,0,20,5,7,5,15.285714285714286,12.4,0.5,1.79,False
1,1,3,15,1,1,23,28,10,8,1,0,0,1,1,1,18,6,7,6,12.666666666666666,10.8,1.4,1.74,True
1,14,1,9,1,1,1,28,2,8,0,0,0,1,1,0,21,5,13,0,0.0,12.7,3.7,-1.7,True
1,12,1,12,1,1,23,3,10,2,0,0,0,1,1,0,24,8,22,2,12.6,15.5,2.8,-4.06,False
1,1,4,12,1,1,13,14,10,4,1,0,0,1,0,0,18,7,7,6,13.9,7.6,2.6,0.32,False
2,12,1,17,0,12,23,28,8,9,0,0,0,1,1,0,39,5,5,1,10.0,12.7,3.7,-1.7,True
1,1,1,15,1,1,22,14,10,11,1,0,0,1,0,0,19,6,13,2,14.0,9.4,-0.8,-3.12,True
1,1,1,12,1,1,13,14,4,8,0,0,0,1,0,0,19,8,9,7,14.114285714285714,11.1,0.6,2.02,False
1,15,1,4,1,14,22,27,10,5,0,0,0,1,1,0,20,6,12,3,13.666666666666666,12.4,0.5,1.79,True
1,1,1,14,1,1,1,1,10,11,1,0,0,1,0,1,20,6,9,6,13.0,8.9,1.4,3.51,False
1,1,5,5,1,1,1,14,4,4,1,0,0,1,1,1,21,6,6,6,11.166666666666666,11.1,0.6,2.02,False
1,12,1,17,0,1,1,1,10,8,0,0,0,1,1,0,28,5,12,1,12.0,11.1,0.6,2.02,True
1,1,1,10,1,1,13,27,5,8,1,0,0,1,0,1,18,6,6,6,13.0,10.8,1.4,1.74,False
2,12,1,13,1,1,23,28,10,10,0,0,0,1,0,0,32,8,8,8,13.125,12.7,3.7,-1.7,False
1,1,2,9,1,1,3,14,3,8,1,0,0,1,0,0,22,5,5,5,15.8,8.9,1.4,3.51,False
1,8,1,9,1,1,22,1,10,10,1,0,1,1,0,1,19,5,5,0,0.0,11.1,0.6,2.02,True
1,8,1,8,1,1,13,14,10,10,1,0,0,0,0,0,22,2,2,0,0.0,9.4,-0.8,-3.12,True
1,8,1,5,1,1,13,27,6,10,0,0,0,1,0,1,18,6,6,6,12.166666666666666,16.2,0.3,-0.92,False
1,1,1,5,1,1,3,14,5,5,1,0,0,1,1,1,20,6,8,6,12.666666666666666,16.2,0.3,-0.92,False
1,8,1,4,1,1,3,3,3,3,0,0,0,1,1,0,27,12,15,12,12.384615384615383,15.5,2.8,-4.06,False
1,1,3,15,1,1,23,28,6,9,1,0,0,1,0,1,18,6,6,6,14.166666666666666,8.9,1.4,3.51,False
1,15,1,8,1,14,4,4,3,11,1,0,0,1,1,0,20,5,13,2,11.5,12.7,3.7,-1.7,True
1,1,2,12,1,1,3,1,10,10,0,0,0,1,1,0,19,8,8,7,13.828571428571427,12.7,3.7,-1.7,False
1,8,1,16,1,1,23,27,6,6,1,0,0,1,0,0,18,6,9,4,11.25,10.8,1.4,1.74,True
1,14,1,17,0,1,22,27,10,10,1,0,0,1,0,0,22,14,15,14,12.428571428571429,7.6,2.6,0.32,False
1,8,2,15,1,1,3,1,5,6,1,0,0,1,0,0,19,6,6,6,12.666666666666666,16.2,0.3,-0.92,False
1,17,1,6,1,16,3,1,3,9,1,0,0,1,0,0,21,9,15,8,14.0,8.9,1.4,3.51,False
1,15,1,4,1,14,23,27,10,10,1,0,0,1,1,0,20,6,10,6,13.2,16.2,0.3,-0.92,False
1,1,1,6,1,1,1,1,5,5,1,0,0,1,0,0,20,6,17,4,13.25,15.5,2.8,-4.06,True
1,8,1,8,1,1,10,10,3,9,1,0,0,1,1,0,18,6,8,6,13.666666666666666,12.4,0.5,1.79,False
1,1,1,2,1,1,1,1,4,4,1,0,0,1,0,0,19,0,0,0,0.0,10.8,1.4,1.74,False
1,8,1,15,1,1,3,1,3,4,1,0,0,1,0,0,19,6,7,6,12.5,10.8,1.4,1.74,False
1,8,1,12,1,1,23,27,8,6,1,0,0,1,0,1,18,8,8,8,13.73125,9.4,-0.8,-3.12,False
1,12,1,10,1,1,22,20,1,5,0,0,0,0,1,0,32,6,12,0,0.0,7.6,2.6,0.32,True
1,12,1,10,1,12,22,27,10,10,0,0,1,0,1,0,33,5,6,0,0.0,16.2,0.3,-0.92,True
2,12,1,7,1,1,19,24,1,1,1,0,0,1,1,0,33,5,9,2,13.0,9.4,-0.8,-3.12,True
